year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party_detailed,writein,candidatevotes,totalvotes
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"VACEK, DAN",LEGAL MARIJUANA NOW,False,11291,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,9456,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"KENNEDY, ALYSON",SOCIALIST WORKERS,False,1671,2944782
2016,MINNESOTA,MN,27,41,33,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,1430,2944782
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,700714,1209357
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,485131,1209357
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,14435,1209357
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,3987,1209357
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"STEIN, JILL",GREEN,False,3731,1209357
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"HEDGES, JAMES",PROHIBITION,False,715,1209357
2016,MISSISSIPPI,MS,28,64,46,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,644,1209357
2016,MISSOURI,MO,29,43,34,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,1594511,2808605
2016,MISSOURI,MO,29,43,34,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,1071068,2808605
2016,MISSOURI,MO,29,43,34,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,97359,2808605
2016,MISSOURI,MO,29,43,34,US PRESIDENT,"STEIN, JILL",GREEN,False,25419,2808605
2016,MISSOURI,MO,29,43,34,US PRESIDENT,"CASTLE, DARRELL L.",CONSTITUTION PARTY,False,13092,2808605
2016,MISSOURI,MO,29,43,34,US PRESIDENT,,,True,7156,2808605
2016,MONTANA,MT,30,81,64,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,279240,494526
2016,MONTANA,MT,30,81,64,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,177709,494526
2016,MONTANA,MT,30,81,64,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,28037,494526
2016,MONTANA,MT,30,81,64,US PRESIDENT,"STEIN, JILL",GREEN,False,7970,494526
2016,MONTANA,MT,30,81,64,US PRESIDENT,"DE LA FUENTE, ROQUE """"ROCKY""""",AMERICAN DELTA PARTY,False,1570,494526
2016,NEBRASKA,NE,31,46,35,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,495961,844227
2016,NEBRASKA,NE,31,46,35,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,284494,844227
2016,NEBRASKA,NE,31,46,35,US PRESIDENT,"JOHNSON, GARY",LIBERTARIAN,False,38946,844227
2016,NEBRASKA,NE,31,46,35,US PRESIDENT,,,True,16051,844227
2016,NEBRASKA,NE,31,46,35,US PRESIDENT,"STEIN, JILL",NOMINATED BY PETITION,False,8775,844227
2016,NEVADA,NV,32,88,65,US PRESIDENT,"CLINTON, HILLARY",DEMOCRAT,False,539260,1125385
2016,NEVADA,NV,32,88,65,US PRESIDENT,"TRUMP, DONALD J.",REPUBLICAN,False,512058,1125385
